skill;check_line;backward_text
Nature;LAURA: While she's doing a nature check, I want to;I know, but is there a barrel of water in his chest? Maybe a lake? An underground lake? We're always impressed by how much water comes out of you. At this point, you guys would be able to move around and continue up past where this opening is, and the river would no longer be impeding your path. Let's do that. Keep moving up, right? That's where the city is. Sure. Hang on. Can I do a nature check? Is there anything weird about this?
Stealth;MATT: Okay. Are you stealthing? Roll a stealth;Divine Sense, which is specific to undead location, not vague, if there's any within 60 feet. I'll use one. Okay. Focusing, no undead within 60 feet of you. That's good. I drank a tiny little potion of healing. I healed six. Good job! So it's leading up to a plateau? Yeah, it goes up about ten or so feet, 15 feet up, and then it leads to another plateau, and you can't see beyond that. I'm going to scuttle up and look over.
Stealth;MATT: Make a stealth check.;Okay. That brings us to Vax. Can I move ten feet closer to Scanlan, and do the classic Van Damme movement and stand between stalactites in the ceiling and hide with my bonus action. Right here? Yeah, and hide in the ceiling. What? You going to Time Cop that shit? That's awesome! Are you doing the splits, right now, are your legs--? Nah, I'm just using my feet for that. No, my hands are occupied. With my feet, yeah.
Stealth;LIAM: Stealth check. Yeah, baby.;Can I move ten feet closer to Scanlan, and do the classic Van Damme movement and stand between stalactites in the ceiling and hide with my bonus action. Right here? Yeah, and hide in the ceiling. What? You going to Time Cop that shit? That's awesome! Are you doing the splits, right now, are your legs--? Nah, I'm just using my feet for that. No, my hands are occupied. With my feet, yeah. Make a stealth check.
Perception;MATT: Roll a perception check.;18. 18. All right, you barely manage to avoid-- Oh, now Trinket's all alone! You are most gracious. So as the rock comes up to consume you, it covers over both of you. And there's a brief moment of silence before Grog bursts out and steps up onto the stone, unaffected by the impact. And that's its full speed, so it can't earthglide again. This one here is going to scoot and appear right around the edge on that side. That's in range for me? It is, yes. And me?
Perception;perception check, Vex.;the ground. Untamed monster! She gives it three or four more hits on the ground out of frustration. Yeah, because she got trapped. Yep. I go rescue the bear. Be careful! I think there's another elemental right there. Are there any more? I think Trinket's an elemental. As you guys all make your way over to the pile, as it's shifting and moving, you all prepare your weaponry for what might emerge. Make a
Investigation;MATT: You can go make an investigation check on it;the left and stops at a cylindrical chamber. It's still a cavernous space, but it has a cylindrical shape to it. About 40 feet in diameter, about 50 feet tall at its apex, and in the center of it, you see a partially collapsed dark stone pavilion or small temple. At the bottom in the middle? Well, you guys turn and it's in the center of this chamber that rises up before you in the center of this small, egg-shaped opening, the space. And you see this made of a deep, dark, grayish, almost black stone structure that looks beautifully made. The craftwork is distinctly dwarven. Is it old?
Religion;MATT: Make a religion check.;jammed into the side of the structure. And looking past the craggy piles of loose rock, you can see shattered glass across the ground, and part of the rock as the rockslide has pushed into one of these glass panels that marks the exterior of the small, gazebo-like temple structure. It seems to have filled, from what you can see at least at this distance, a portion of the interior as well. There is a double door in the front that is currently closed and the right side of the door is buried partially by the remainder of this rockslide that has come to a halt at the base of the structure. Do we know what gods dwarves worshipped? Do they have specific gods?
Stealth;stealth, which meant that she just made a regular roll.;up at it. It's very simple when you get up close to it, but the further back you go, it's a beautiful arrangement. I bet it's a crypt, which means that it's trapped, and I bet that means there's something expensive and interesting inside. DM, question. Yes. Because I can't remember for sure, didn't, in our story somewhere, we come up with a solution for Pike's noisiness? Something that quieted her down? She had stealth boots. Yes, her boots, they gave her advantage on
Perception;MATT: Make a perception check.;suffered severe damage and probably wouldn't sustain another blow. I mean-- Go ahead. Fee fi fo fum! (laughs) Roll an attack again. That is a 15. 15, yeah, that's enough. That's just enough. You slam a second time, you don't have to roll damage. Even with the additional modifier it's enough. The door (crumbling) crumples inward and falls inside the actual chamber as your fist turns it into shattered rock and dust. Can Pike see undead in there?
Perception;TRAVIS: I'll make a perception check too. I'm at;sustain another blow. I mean-- Go ahead. Fee fi fo fum! (laughs) Roll an attack again. That is a 15. 15, yeah, that's enough. That's just enough. You slam a second time, you don't have to roll damage. Even with the additional modifier it's enough. The door (crumbling) crumples inward and falls inside the actual chamber as your fist turns it into shattered rock and dust. Can Pike see undead in there? Make a perception check.
Religion;religion check on one you've already failed.;that curve around this side, each containing a stone box about that big, on each pedestal. What?! Otherwise, all around the ground here are broken rocks and shattered statue bits from the rockslide. They pushed it inside. It's a mess across the ground from the impact of the rockslide. So, what are you guys doing? I'm checking the boxes for traps. And the door. Can we see anything that points to what deity it is from inside the chamber? Can we see anything? Glancing around? You can't make another
Religion;MATT: Sure, make a religion check for Pike.;across the ground from the impact of the rockslide. So, what are you guys doing? I'm checking the boxes for traps. And the door. Can we see anything that points to what deity it is from inside the chamber? Can we see anything? Glancing around? You can't make another religion check on one you've already failed. Oh, yeah, no. So you don't see anything that comes across as religious iconography. What about Pike though, because she's looking in.
Investigation;MATT: All right. Investigation check on the next;Yeah! We're all going to get out of the chamber. Okay, so you all clear out of the chamber. 30. 30, okay. You find there's actually a pressure cartridge at the very top of the box, so you slip your dagger in, so it remains depressed. As you lift the lid, you put your thumb over it and hold it, trap never triggers. Looking inside, it's empty. (shutting noise) (shutting noise) No problem. Just go down the line.
Investigation;MATT: Make an investigation check.;So, as you go and take a moment and check the door, there is a bronze image faintly carved into it of a stocky dwarven man with a thick beard that touches his toes. It completely covers the front of his body. He wears plated armor that comes to dangerous, jagged, curved-up points. As far as dwarves go, this one looks about as unhappy and unapproachable as any dwarf, and you've encountered some pretty gnarly dwarves in your time. As you glance down, there does appear to be an opening for a key and there is an oval turning mechanism, like a vault door, like a smaller vault. I'm going to check for traps.
Arcana;MATT: Make an arcana check, if you're looking at;now if it were cursed. Anyone have an Identify spell? She might be able to sense good and evil, no? I don't know. Or is that for creatures, not for-- That's for creatures. I could Detect Good and Evil. Yeah. Here. It's creatures. Gimme. I can look at it and just look at it. I'll look at it. Does it feel magic?
History;jet black metal. Make a history check.;I could Detect Good and Evil. Yeah. Here. It's creatures. Gimme. I can look at it and just look at it. I'll look at it. Does it feel magic? Make an arcana check, if you're looking at it. Sorry. Just looking. 12. We suck. It's interesting. It's not so much that you can see any sort of-- there's no runic ornamentation it seems on it, but it's like a deep
Arcana;MATT: The belt? Make an arcana check.;I'm just saying. What's your hammer like? My Dwarven Thrower? It can be single or double-handed. It's not a warhammer. It flies back to my hand, though. Oh, that's pretty cool. It is. But you can never have enough hammers. Do you mind if I--? No, but I mean, how are you going to wield this? You have two other weapons, don't you? Are you kidding me? I'm like a fucking Home Depot of weapons. I got what you need. Sure, go for it. What about the belt?
Perception;LIAM and MATT: Perception check.;be falling away to some semblance of actual holding architecture. And eventually it reveals a much larger hall of very apparent dwarven architecture. The ceiling now pulls up to about 60 feet above you, stalagmites dripping condensation from the shadow above, you can hear the distant drops in the distance of the cavern before you. You can make out broken ruins built into the walls of each side. Ancient stone homes and structures that now crack and crumble with each footfall of the titan. As you hear the (impact) of the next heavy footfall, you see as a couple of stones tumble from some of these structures, clattering across the cavern floor.
Stealth;MATT: All right. Make a stealth check.;Further than your visual range. Further than my visual range. Okay, we've got company up ahead. So, yeah. What kind of an alien language? Any that we recognize? You hear this faint-- sounds like a voice, droning, slightly changing pitch, but it's so disparate and so distant that you can't make up anything other than noticing that it exists amongst the steady, low, rhythmic rumbles of each separate footfall of the beast you now currently are within. Vax. Go fetch. Stealth.
Perception;LIAM: We are in hell. Perception check.;So the first dagger does-- Ten, 14, 17, 23, 24, 48 plus psychic damage. 54 for the first attack. The two daggers hit nothing as the first dagger strikes and slaughters the creature. And hits the water and now floats up, unmoving in the pond there. You can see the liquid around it darkening. You just killed an NPC! We're not in Emon in the market square! No one knows about this. The sheer force of the first dagger sends it off the broken statue and it falls into the water and it is now unmoving.
Investigation;MATT: Make an investigation check.;It was holding a baby. Flame Tongue is out, what am I looking at? Do you want to look at its face? Yeah. Okay, as you pull one of the spines and pull it back, you can see toothy jaws, humanoid-like, but grey and coming to a point where you can see jagged teeth in the top and bottom row, and one singular large yellowish eye in the center of its face, no nose, and the eye is slightly rolled back. Liam knows what this thing is, but Vax does not. Fuck this thing! I'm going to start looking-- what are the trinkets on it?
Arcana;MATT: This would be an arcana check on this one,;Cinc-ture? Cincture. It's like Spanx. We should call it Spanx of the Stone King. How do you know that? How do you not? Oh, it's like, people still make these things? It's like a cincture. Like Spanx. Oh, I've never seen that word before. Oh, Freddie. Get excited. I found a spyglass covered in diarrhea. Would you like it? Yes. Clean it, please. What is this creature? Do we know what this creature is?
Investigation;MATT: Investigation check.;steps. They begin to vanish beneath more loose earth and stone for another 20 or so feet before reemerging again in places. About 40 feet past that, the tunnel ends at a set of heavy stone eight-foot doors. The surrounding cavern has slid in places, but it doesn't appear to be burying the door, to a certain extent. They're just closed. You don't see any handles; you don't see any keyhole entry point. They're just two stone slabs. They're simple. They're smooth. There's no intricate scrolling. There's no Dwarven text. They're just impeding your progress. Let's have a look. Yeah, I'll look around.
Perception;MATT: Make a perception check.;the stone door-- this is the right or the left one? The right one. The right one, right. You watch as where it meets the stone, cracks begin to form at the edge and with one shift (shifting), it seems to push forward and (falling and impacting). You actually broke whatever mechanism was holding it in place and caused that side of the door to fall inward (booming). As it hits the ground, you hear the echo (echoing boom). Wait, I know a saying for this: They make them like they used to! That's relevant. Accurate. Can I see anything immediately in the--
Perception;MATT: Make a perception check.;with small entryways that lead to each. The floor is covered in flaked shale, dirt, the occasional glitter of some sort of errant coin or gold piece or copper piece. At this point, again you hear the distant (booming) of a titan footfall. The chamber shakes, and a fresh layer of dust falls, clouds a bit, before resting to the floor. That's the most you can make out at first glance inside this chamber. There's more tunnels. Looking for traps, dead guys, from the door. Can I do a peek and check to see if there's signs of any cave-in potentials? Potential cave-ins?
Investigation;LIAM: 18 investigation check for traps and dead;somewhere that leads out? With your face? Yeah, I want to feel the wind on my face. Thanks. 28. Glancing about this chamber, it's very well made. In fact, based on the smatterings of gold on the ground and glancing about the way it's built, this looks to be specifically a vault. This once contained probably a portion of the wealth of the people of this town. Oh, somebody rolled this place. We don't hear anybody or anything? Not at the moment, no.
Perception;MATT: Make a perception check.;17 damage? All righty. So a second hit slams, and you could see the first one where it burst out, burned and singed the necrotic flash. The second one hits, not as impactful but still, it looks relatively hurt. That ends Pike's go. Can't she move away from him? Oh, no, because he will get an attack. She could move back five, but it will get an attack of opportunity if she does that. No, she's going to face him down. Okay. Grog, you're up. I would like to rage and run up and to this doorway. Five, 10, 15, 20. Can I see anything in this room?
Investigation;MATT: Make an investigation check.;begins to burn away as the flames left over from the Fireball consume the rest of its body. It tumbles to its knees and burns into this skeletal mass that turns to ash on the ground. That happened in six seconds. It was like, (explosions). We need to get out of here. It's crumbling. There are chests about. I take my flaming sword and do a few Jedi kid moves. When no one's looking, go (lightsaber noises). I go check for traps on that chest right there.
Investigation;MATT: Investigation check.;There are chests about. I take my flaming sword and do a few Jedi kid moves. When no one's looking, go (lightsaber noises). I go check for traps on that chest right there. Make an investigation check. 14. 14? Okay. Does not appear to be trapped. All right, then I'm going to open it. You open it? There are seven gold pieces, two silver, and the rest of it's empty. Awesome. Look at all this money! I'll check for traps.
Perception;MATT: Make a perception check. Seven? Doesn't;All right, then I'm going to open it. You open it? There are seven gold pieces, two silver, and the rest of it's empty. Awesome. Look at all this money! I'll check for traps. Investigation check. It's a 22. 22, okay. Room does not appear to be trapped, from what you can see. I'm going to check that trunk. The chest. You're going to check that for traps, as well? This is not quite as-- seven.
Nature;settings. Make a nature check. The radius is only;your arms, to your hand. With that, your fingers widen and the hammer falls to the ground, there. That hold that it had on you is lifted. I think I'm going to leave this here, if that's cool with you guys. She gives you the mom look and says, "Don't touch it, okay?" Do you have time to attune to your other thing? Yeah, I'll pick up the Bloodaxe out of the Bag of Holding and start attuning to that again. Old trusty Bloodaxe. So you guys are taking a short rest to attune? In caves and other natural underground
Athletics;MATT: So, make an athletics check.;The wisdom saving throw was something in the beginning. Yeah, I think it was, you have to shake his hand or do something, like, gentle to him. I like the idea that it's silent in here and we're just hearing sand get kicked around and Grog breathing like a bull. I like to think that Earthbreaker Groon has, like, mood music for his fights. Agreed, yeah. There's frustrated grunts happening. He's got a sound system.
Athletics;MATT: Okay! Go ahead and make an athletics check.;kind of earth-side punch into your torso. Not the double fist! It's about to push you backward, but you dig in your feet (grunts) and resist it and hold your place. Yeah! Look who's catching who now. Now it's your turn. He didn't have a quip back for me, okay. Right. I would like to turn so I'm facing him. Okay. I want to pick him up and try and bodyslam him.
Investigation;MATT: Make an investigation check.;I wonder what Scanlan would say if he were here right now? Fucking come back and get me! (all laugh) Yes, yes. He's asleep. Very asleep. (snores) In a coma. Shit. Do quick shopping and then head home and look at all the things. A quick buying of potions, I just wanna see if I can get some stuff.
History;MATT: You know what? Make a history check.;it could very well in the near future. Just tell me so I can add it to the campaign guide. (all laugh) I'll come up with something better. International House of Bosoms Yes. (all laugh) Thank you. With all the flags on it. Would I possibly know this? And six different syrups to choose from in each room. Ahh, the silver dollars. I don't even know if I would know this.
History;TALIESIN: A history check? That's so-- okay.;me so I can add it to the campaign guide. (all laugh) I'll come up with something better. International House of Bosoms Yes. (all laugh) Thank you. With all the flags on it. Would I possibly know this? And six different syrups to choose from in each room. Ahh, the silver dollars. I don't even know if I would know this. You know what? Make a history check.
Perception;MATT: It's pretty thick. Make a perception check.;month-by-month basis, and you get a cut of the treasure as we go, of course. We can work out the particulars, but are you in fact, guns and-- or, not guns. Swords-for-hire? What, are you going after treasure? I'm going after many things. I have a long list of things I want to tick off. Are you famous? Of course I am. You haven't heard of... Well, you haven't heard of me yet because my book hasn't come out yet. Doty here is recording my legendary adventures as I travel around the continents. How thick is the book?
Insight;TRAVIS: Can I insight check Asshole?;I knew you were special when I ran into you all, my goodness. Hey, buddy boy, we have to go to the Nine Hells in the not too distant future, are you down for that? Well.  Hold on, let me check my list.... that is on the list. It was... lower down, but, it's another thing I have to tick off before I'm a real adventurer! So, I'm up for anything if you are. Hm. I do not like you. This fucking asshole, am I right? This fucking asshole.
Investigation;MATT: Make an investigation check.;"I looked everywhere and saw nothing. I'm also a bartender and that's why I asked you guys. "So if you want to have a look, please!" Yeah. I was actually asking the DM. Oh, okay. Do I see, with my Draenei eyes, as I stroke my chin tentacles-- You have tentacles?! You have tentacles on your chin? On my chin. I don't like to draw attention to them. You don't need to. They're just there. So are you getting to the ground? That's right.
Investigation;LIAM: Yes. I'm making an investigation check. I'm;also a bartender and that's why I asked you guys. "So if you want to have a look, please!" Yeah. I was actually asking the DM. Oh, okay. Do I see, with my Draenei eyes, as I stroke my chin tentacles-- You have tentacles?! You have tentacles on your chin? On my chin. I don't like to draw attention to them. You don't need to. They're just there. So are you getting to the ground? That's right. Make an investigation check.
Investigation;MATT: Make an investigation check.;rolling a d20. That's not very good. That is, hold on! I've just solved the entire game. That's a two. You get close to the ground and there's a lot of small bits of wax. And you start pulling them together and piecing them, and you figure if you spend the next couple hours, you can maybe put together a very small candle. There were candles here. You are correct. Quazi, you are astute, as always. Bundle, would you mind checking the lock to see if there's--? I take a look at the lock.
Investigation;an investigation check as well.;there's--? I take a look at the lock. Make an investigation check. Oh, boy. Oh, wow. Oh, no. It's cold in here. Warm it up, guys! Seven? Seven? The lock appears to have been broken through blunt force, but you have no other information you can draw from it. Lock appears to have been broken by blunt force. I don't know. Let me have a look. All right, if you want to go ahead and make
Survival;MATT: Make a survival check.;Do most of them smell like animal fat? "Yes, they do, by their very nature. But I try best to add lavender to the batch and "occasionally--" Lavender, you say? "Yes, lavender." What about paht-pourri? We've discussed this. It's potpourri. You're dropping off the T. Well, it's just potpourri. You're fucking with me. No, for the fourth time. Were you going to track them? I'd like to try.
Perception;MATT: Make a perception check.;All right. Dramamine, lead the way. As you continue delving deeper down this cavern, the smell of damp earth seems to be ever present as a recent rainfall has left a lot of this path, the early portion of it, rather muddy. Your feet slip and slick against the soft floor as you occasionally have to right yourself against the walls of the cavern, being careful as you push deeper into this. Now after some time the path comes to an abrupt halt where the floor seems to drop down about five feet into a tunnel that opens larger and wider, 15 feet below you, deeper still into the mountain. Shh! Can I hear anything?
Perception;and make a perception check.;I am, totally. Am I allowed? Am I allowed to do that? No! Oh, I'll stop now. I don't know this game yet. What happens is he will create the environment and the things around you and you interact with them and you roll dice occasionally. I'm going to go under here for a minute. You're in control of your personality and the actions you do in this world. He's the world. I don't know, do I see any light? So as you coast around the corner go ahead
Stealth;MATT: Okay. Go ahead and make a stealth check with;That's right. Feel like journeying in a little bit? Seeing what else you can see? Sure. Sure! I cast Invisibility on myself. Okay. You watch as the outside of your gnomish companion shimmers and then vanishes. You find yourself invisible and you step carefully. Okay. I'm going to walk across the bridge now. We can still hear you. Yeah. I'll be quiet once I get towards the bridge. See if you can see any of the other candles. I walk towards one of the rickety bridges.
Perception;Make a perception check.;Okay. As you carefully make your way over towards the edge of the bridge you can see the water is about a foot and a half, two feet below where the bridge is and it's not rushing super fast but enough where it's breaking the water a bit, you're seeing a bit of spray and mist and you see these nine kobold creatures across the way. It looks like the one that was locking the door is currently talking and giving instructions to the others as you see the larger one is standing there with this massive pack on his back that's filled to the brim. All of them are carrying pickaxes to the side, but he has the wicked, more strongly built one. As he's pointing to them he's talking.
Acrobatics;MATT: This would be an acrobatics check.;armor and makes no effective impact. You continue rushing across the bridge-- No. I used 15 feet to get here. I'm going to do my running long jump for 25 feet over 20 foot bridge you describe to me and land on other side. And move up to this asshole on other side. Okay. You cannot jump further than your movement speed, technically. So you run, you jump, and you're getting right towards the edge there. I would like you to go ahead and make an acrobatics check. Oh, you think I would understand this mechanic before this moment in my life at level seven. What kind of check?
Intimidation;MATT: (yelps) Make an intimidation check. With;There's more where that came from if you answer the question. Are there more than those of us you see here of the kobold? "There are, but scattered. Dangerous tunnels, find dangerous things. Wander. Avoid "them! We do." Quazi, do you think maybe you could convince him to show us safe passage? Safe passage, convince him? Oh, yes. Bring closer. (squeals) And you catch him as he throws him. Your hands, what I like about them is they're so little (bones snapping).
Investigation;MATT: Make an investigation check if you want to;And I kick him really hard in the ass. Lead the way. The door is closed. Lead the way. "I'm bound! You made me put rope on it!" Is there a latch, a door knob? There is a handle latch and it looks like there is a lock mechanism to it. Hmm, a lock. Whose purview is this? That's you. You take look. Make sure it does not explode on you. I don't see any wicks. I don't see anything explosive.
Medicine;MATT: Make a medicine check.;"He is strange one. Don't like him. I don't-- kobolds stay away." Is he problem? (whispering) "I don't know." You be nice to him! It's the-- they're real-- I punch him in the eye. (cry of pain) You only live once. Orange. You've got to keep them in line with tough love. I take the orange. All righty. Do I know anything about this blue fungus?
Persuasion;MATT: Make a persuasion check.;hunched, bestial dwarf ape-like creature standing at about six and a half feet tall as its long arms drag on the ground. It's drooling down its own chest. You've experienced, most of you in particular, this is a trogg, a large subterranean creature, but this trogg is acting strange. It's giggling to itself. (deep laughter) Holds the pillar and grabs some mushroom and scarfs it. Oh no. Here we go. (grunts) And he starts walking around the edge, looks around the edge right to you, "It's "real?" No!
Persuasion;MATT: Make a persuasion check!;(gagging) Pulls it out. You can see on the top of the staff, it has these awesome, pointed purple stones, three of them in a triangular pattern that float, locked into place. (licking) Jams it back in his mouth and begins chewing on it again. Can I make the staff look like it's made of snakes or something? Can I Thaumaturgy? Unfortunately, that's an illusion spell. Thaumaturgy is very simple. It's a very faint effect that wouldn't have an effect if they weren't already tripping balls. If they're already tripping can we say: Whoa, why are you holding that snake in your hand?
Stealth;MATT: Make a stealth check to see if you can not;it, "Hey, a snake!" and begins trying to bite through. You watch as his teeth are breaking on the metal. I'll cast Command on him and say: drop that wicked snake! Okay! What's your spell DC? 13. He rolled a 13 minus one. This trogg is not very wise. Drops it. You see he's putting his tongue through his mouth and bits of teeth are falling out of his lips and bouncing off of his belly. (grunts) They're all currently entranced by the movement and the lights that you've created. I'd love to collect the thing.
Persuasion;MATT: Make a persuasion check.;Reeks, if we leave them, will you keep guiding the way? "Behind them? The way is where they came from." Quazi? Feel like introducing yourself? Good news, my brothers. We come from both the future and the past. All three of them (grunt). Let me tell you. Your fathers are proud of you. The two on the sides look in to the one in the center who goes, "You know father?" I've been this fucked up before. Your mothers love you and are proud of you!
Stealth;MATT: The rest of you make a stealth check. You;close. You can smell the horrible trogg breath billow out across your face. Almost thickens the air around you. It smells of rotting meat and a multitude of terrible memories. And the deep secret is: You know that I am you. He releases you and takes a step back and goes. (sobbing) And starts sobbing openly. The two other troggs clap the side of his shoulders and start sobbing, too. The three of them sit in place and start having the most basic of existential crises you could watch. Slowly making our way around the existential crisis.
Stealth;MATT: Make a stealth check, please.;Slowly making our way around the existential crisis. The rest of you make a stealth check. You already made one. The rest of you make a stealth check. Doing inches this way like an arc. And Papa and Mama don't want you to hurt you! You have to love you! You get the sense they're picking up every third word due to the limits of their language comprehension. They're like, (grunting) "Love! (grunting) Ove! (sobbing) Guh!" They're just making guttural noises at this point. Give into it.
Insight;TALIESIN: I want to take a quick insight check and;(laughter) Mind over matter. "They mostly just let me through." Oh, Okay, well, we'll figure it out. Now, now, you know King Tagwaggle will be very disappointed-- "Togwaggle!" Togwaggle will be very disappointed if we are not brought before him. "Wait. Across." And the finger, the broken hand, tries to lift up. "Across. I remember! That "way. That way to Togwaggle." Straight across? "Yes."
Perception;MATT: You can make a perception check if you;are not brought before him. "Wait. Across." And the finger, the broken hand, tries to lift up. "Across. I remember! That "way. That way to Togwaggle." Straight across? "Yes." I want to take a quick insight check and give him an eye. I don't trust this one. That's not bad. That's a 16. 16? Kind of hard to read. You get the sense that something doesn't sit right with the way he's saying it. Aerwin, do you see anything hinky in this room? Anything off? Bad?
Perception;JENNIFER: I'd like to make a perception check.;hand, tries to lift up. "Across. I remember! That "way. That way to Togwaggle." Straight across? "Yes." I want to take a quick insight check and give him an eye. I don't trust this one. That's not bad. That's a 16. 16? Kind of hard to read. You get the sense that something doesn't sit right with the way he's saying it. Aerwin, do you see anything hinky in this room? Anything off? Bad? You can make a perception check if you like.
Stealth;a stealth check.;What if they're waiting to explode the middle? And we're standing here talking in this chamber. Could I take some of my ball bearings and go across? I have my ball bearings in my pocket to trip them, and go across and try to get closer. You could throw them out in front of you to try and see if it hits them. No, I'll have them with me in case I need them as a defense. Can I sneak across to see them? Okay. So you pull out your small pouch of ball bearings, hold them in your hand. Go and make
Acrobatics;you can make an acrobatics check to use your;ball bearings, hold them in your hand. Go and make a stealth check. That's good. You're going to be good. 23. That's not bad. You have to leap across to get to the smaller platform that's going up, because there are the breaks in it. What's your strength? Ten? Zero. Right, so maximum ten. So you get about a 10-foot jump across that way. It's about a 10-foot jump to get to that smaller platform. You, keeping low, using the balls of your feet, make a leap for it, just catching the edge ever so carefully. If
Acrobatics;make an acrobatics check.;bracers, some sort of large, thick pieces of armor, separate, as molten rock shoots up and flame ignites, filling the center of the empty armor into a large, elemental-like enemy made of fire and magma within the armor. You watch as this magma rager, appearing, giving this flexing roar, goes charging towards you. What are you doing? Am I doing this? Well, you're definitely not hidden from it yet. You have to hide first. Okay. Strength is not my thing. I think I'm going to run. Okay. So you run back the opposite direction, leap, head across the way. Go ahead and
Acrobatics;one more acrobatics check.;fire and magma within the armor. You watch as this magma rager, appearing, giving this flexing roar, goes charging towards you. What are you doing? Am I doing this? Well, you're definitely not hidden from it yet. You have to hide first. Okay. Strength is not my thing. I think I'm going to run. Okay. So you run back the opposite direction, leap, head across the way. Go ahead and make an acrobatics check. 22. Fine. You spin, roll off your shoulder, leap, a second time on the other side, and make
Investigation;MATT: Make an investigation check.;17. Glancing, you look down. Yeah, they are charred and long dead. The armor appears to be burned away. There are a few pieces of equipment that have lasted okay, although covered in black soot. There's a couple of small satchels that are left there and looks like they were back to back. Just hoping for help or trying to find a way off, and eventually, they expired. I'm sorry you had a tragic ending. I'm going to keep flying around them. I don't want to touch my feet to the ground, in case something comes out of the ground. But I'm going to dig through all of their shit and see what I can find.
Acrobatics;and make an acrobatics check.;charge-slam attack. That is going to be a 23 to hit. Oh my god, yeah, that hits. Double ones on the attack, so only six points of bludgeoning damage. I can live with that. Six points of fire damage. I can live with that too. As it slams into you, you immediately get pushed 15 feet back into the air. You arc backwards. As you're falling back, you can look, you're edging toward where the central platform where you were before you go to the middle one, and off to the side where the lava is. Go ahead
Acrobatics;acrobatics check for me.;You watch as its intense expression toward the dwarf slackens and it flexes its shoulders and then roils back to the center platform and then looks over toward you with a nod. Your mama loves you very much. Your papa's very proud of you. Come on, you guys. Doesn't seem so scary! Across. All right, so your strength, your strength. What's your strength? Ah, zero. Or ten, sorry, ten. Nobody attack him, guys. If anybody touches him, this is going to break. Yeah, so the three of you make it across fine without any issue. Go ahead and make an
Perception;MATT: Make a perception check.;Is she asking Quazi, or is she asking Vax? You would almost definitely hit dragon, but it would be like taking donut and hitting side of Empire State Building. Absolutely you will hit, absolutely. You will take off half of one scale of dragon. I mean, you can do it. This is Dungeons & Dragons. Do whatever you like, but I'm just saying, the game will end in two minutes. Technically, it's Kobolds & Catacombs. Point made. I am curious to see. It's still sleeping. What else do we see in this--?
Stealth;MATT: Make a stealth check, please.;do we see any candles? Looking around with your perception bit, you glance around, and you can see there is a trail of flecks of wax that lead across the left side of the chamber into the exit where it goes. So it looks like whatever has been transporting the mass of candles went that direction. Great, there's the exit. I'm going to start making my way that direction no matter what. Sneaking, sneaking. As stealthy as possible. Who's sneaking first? Sure.
Stealth;MATT: Okay, make a stealth check.;slightly. As it blows hot air from its nostrils, a few coins glitter and come to rest. Stillness. Your breath is held. Slowly you exhale as it does not appear to have disturbed the dragon. You slowly make your way the rest of the way across the chamber and you're now standing at the archway for the tunnel that extends beyond to the next area. Who's next? I elbow the gnome and lip sync, and I say, chain. No, no. I know. Don't do it! Okay. Are you going? Okay, I'm going to try to go.
Stealth;MATT: Make a stealth check.;its dream, it goes back to sleep as the jet of flame subsides. You look over and see this, what once was a tightly- and well-placed-together bun, is now a singed mat of scraggled gnome hair as the mage stands there, covered in soot, little bits of fire burning off the edge of the cloak-robe. I'm going to throw a Cure Wounds at that to help with that. I'm going to stealthily run toward him. You catch up with Bundle as he goes ahead and heals. Go ahead and roll for that. You get 11 points back to help. All right, who's next? I'll go.
Stealth;MATT: Stealth check.;and a few small pillars that have nothing resting on them at the moment, and along the curved wall where everyone has been stealthing around. The rest of the chamber is filled by hoard pile and the dragon. Here's what I think. If I fucking move, big noise, jig is blown. You need me to stay still. So you do your thing and if it goes well, you go and then I go. If things go bad, we all die together. Things go bad, can you run while I distract him with my things going bad? You know, no promises. We'll see what happens. Good luck. Here goes nothing.
Stealth;MATT: Make a stealth check. So you disappear into;Seeker across the chest of the red dragon. It scrapes through and you see a little trickle of blood begin to spill from the little bit of scales that you carved through. It's still inhaling and seems to not even notice your presence. Oh buddy. Let's go! All right, that ends your turn. Greldamine. I'm going to hide and not fight a dragon. Okay, so you're retreating into the hallway and hiding? Yeah! You run deeper into the hallway. Are you trying to make a hide action? Sure.
Acrobatics;acrobatics check to see if you can manage to;begins to push its way into the cavern behind you, the impact, the cavern shaking, you two who are running the fastest notice before anyone else does, the ground gives out beneath you. You both go into a freefall as the strength of the ground dissipates beneath your form. The rest of you see this happen just as you reach the edge and you watch as the tunnel is falling and collapsing beneath you as you all begin to tumble down into darkness. Right as that gout of fire is released, you watch above you as you spin into shadow, the flames completely engulf the cavern where you once were. Strangely, the collapse saved you! As you plummet down, whack! I need everyone to make an
Perception;glance up the side, make a perception check,;do, yeah. We might need that later. Yeah, do the hit dice. You guys glance around the space you're in. Oh, yeah. We need to actually do that. As you guys are having this conversation, you look around. What faint bit of light you carry with your torch light or the Light spell to look around at the space around. You seem to have slipped down into a small crevasse that is partially broken open. You're hidden in this small, collapsed portion where a lot of it is filled with the loose rock. Beyond it, you can see a flickering, orange glow. As you approach and
